Mach, Beta, AOA, Lift, Drag, Moment,L/D,CL,CD
1.3,0,7,4993596.379,1172516.029,21697.02466,4.258873,1.054355,0.247567
1.3,0,9,6263124.064,1521629.115,14316.7919,4.116065,1.322405,0.321279
1.3,0,11,7485251.34,1948724.611,-5654.90116,3.841103,1.580447,0.411457
1.3,1,-2,-825263.5486,659573.2805,-198968.4316,-1.251208,-0.174247,0.139263
1.3,1,-1,-196694.4155,632119.9982,-191170.8847,-0.311166,-0.04153,0.133467
1.3,1,0,437048.9007,625491.2375,-181326.6242,0.698729,0.092279,0.132067
1.3,1,1,1078685.336,640097.5442,-174462.8852,1.685189,0.227755,0.135151
1.3,1,2,1728273.918,675603.9108,-169496.549,2.558117,0.36491,0.142648
1.3,1,3,2383007.823,732112.2238,-171050.015,3.254976,0.503152,0.154579
1.3,1,5,3693699.301,908982.7543,-170630.5847,4.063553,0.779893,0.191924
1.3,1,7,4988062.443,1172458.022,-187237.1988,4.254363,1.053187,0.247555
1.3,1,9,6257474.665,1521864.652,-219973.4658,4.111716,1.321213,0.321329
1.3,1,11,7479907.455,1948920.09,-261899.362,3.837975,1.579319,0.411498
1.3,2,-2,-826158.1736,660001.7506,-390857.1232,-1.251751,-0.174436,0.139354
1.3,2,-1,-199508.5988,632300.0169,-374175.454,-0.315528,-0.042125,0.133505
1.3,2,0,434603.7117,625568.8885,-360185.9214,0.694734,0.091763,0.132084
1.3,2,1,1075838.34,639800.0253,-351688.7688,1.681523,0.227154,0.135088
1.3,2,2,1724700.425,675742.1478,-350112.4078,2.552306,0.364156,0.142677
1.3,2,3,2377414.088,732118.2589,-357554.2868,3.247309,0.501971,0.154581
1.3,2,5,3684051.808,909455.322,-367703.6992,4.050833,0.777856,0.192024
1.3,2,7,4976094.933,1172725.456,-398667.8048,4.243188,1.05066,0.247611
1.3,2,9,6243694.43,1521846.774,-439401.6331,4.102709,1.318303,0.321325
1.3,2,11,7466146.066,1948755.885,-496505.2262,3.831237,1.576413,0.411463
1.6,0,-2,-1208439.767,904405.097,-29852.72928,-1.336171,-0.16844,0.126062
1.6,0,-1,-463949.7166,865969.1578,-24315.11729,-0.535758,-0.064668,0.120704
1.6,0,0,282722.0938,853017.8873,-15113.40567,0.331437,0.039408,0.118899
1.6,0,1,1031699.792,865085.8151,-5725.388552,1.192598,0.143805,0.120581
1.6,0,2,1783161.682,903095.9446,1851.796824,1.974499,0.248548,0.125879
1.6,0,3,2537546.024,965220.0855,9027.682739,2.628982,0.353699,0.134539
1.6,0,5,4060703.104,1165201.074,18423.85299,3.484981,0.566007,0.162413
1.6,0,7,5592185.861,1469558.274,19443.53068,3.805352,0.779475,0.204836
1.6,0,9,7124666.331,1879234.351,16321.04818,3.79126,0.993081,0.26194
1.6,0,11,8653798.108,2398729.235,5499.904962,3.607659,1.206222,0.33435
1.6,1,-2,-1212070.11,905798.0486,-285086.0104,-1.338124,-0.168946,0.126256
1.6,1,-1,-469142.0025,866886.9206,-256657.3963,-0.54118,-0.065392,0.120832
1.6,1,0,277042.269,852965.3925,-230696.6931,0.324799,0.038616,0.118892
1.6,1,1,1026987.532,866423.6808,-200281.4708,1.185318,0.143148,0.120768
1.6,1,2,1778562.502,903202.2564,-172899.8168,1.969174,0.247907,0.125894
1.6,1,3,2533640.022,965349.3782,-149604.6656,2.624583,0.353155,0.134557
1.6,1,5,4057858.67,1165322.807,-115655.2102,3.482176,0.56561,0.16243
1.6,1,7,5588669.52,1470555.344,-100109.8769,3.80038,0.778984,0.204975
1.6,1,9,7121978.466,1880947.066,-102237.6798,3.786379,0.992707,0.262178
1.6,1,11,8651276.481,2399449.287,-123307.6098,3.605526,1.20587,0.334451
1.6,2,-2,-1218066.408,907836.3713,-529849.8628,-1.341725,-0.169782,0.12654
1.6,2,-1,-478109.3811,869606.2367,-485561.8993,-0.5498,-0.066642,0.121211
1.6,2,0,266693.3428,855438.2861,-442157.4729,0.311762,0.037173,0.119236
1.6,2,1,1017139.393,867328.7494,-395933.4697,1.172726,0.141775,0.120894
1.6,2,2,1769185.062,904307.0461,-350764.6411,1.956399,0.2466,0.126048
1.6,2,3,2525676.121,966452.2097,-310980.4817,2.613348,0.352045,0.13471
1.6,2,5,4048358.657,1166308.126,-253825.3574,3.471088,0.564286,0.162567
1.6,2,7,5579555.607,1470539.507,-223904.2689,3.794224,0.777714,0.204973
1.6,2,9,7113182.2,1881561.171,-222968.7274,3.780468,0.991481,0.262264
1.6,2,11,8642234.556,2399749.257,-257238.9098,3.601307,1.20461,0.334492
2,0,-2,-1821996.351,1314321.121,-65083.26539,-1.386264,-0.162535,0.117247
2,0,-1,-909034.0593,1258678.502,-64867.90004,-0.722213,-0.081092,0.112283
2,0,0,246664.8227,992559.5393,37990.11572,0.248514,0.022004,0.088544
